name,allergens,preferences
Shrimp Scampi,low-carb,high-protein,shellfish
Lentil and Vegetable Stew,low-fat,vegetarian,shellfish,nuts
Cucumber and Tomato Salad,low-carb,vegetarian,dairy,nuts
Tomato Basil Mozzarella Sandwich,low-carb,vegetarian,gluten,dairy,nuts
Vegetable Pad Thai,low-fat,vegetarian,shellfish
Sweet Potato and Chickpea Curry,low-fat,vegetarian,meat,nuts
Hawaiian Chicken Skewers,low-carb,high-protein,dairy,nuts
Balsamic Glazed Brussels Sprouts,low-carb,vegetarian,shellfish,nuts
Peach and Pecan Quinoa Salad,low-carb,vegetarian,dairy,nuts
Basil Pesto Pasta with Cherry Tomatoes,low-carb,vegetarian,dairy,nuts
Egg Fried Rice,low-carb,high-protein,meat,vegetarian
Tomato Basil Bruschetta,low-carb,vegetarian,gluten,nuts
Lemon Herb Baked Chicken Thighs,low-carb,high-protein,dairy,nuts
Vegetable and Lentil Soup,low-fat,vegetarian,meat,nuts
Sesame Ginger Tofu Stir-Fry,low-fat,vegetarian,shellfish,nuts
Pineapple Fried Rice,low-fat,vegetarian,dairy
Harvest Butternut Squash Soup,low-fat,vegetarian,dairy,nuts
Brussels Sprouts and Bacon Roast,low-carb,vegetarian,dairy,nuts
Mediterranean Quinoa Salad,low-fat,vegetarian,dairy,nuts
Lentil and Mushroom Meatballs,low-fat,vegetarian,meat,nuts
Grilled Veggie Wrap,low-fat,vegetarian,dairy,nuts
Spicy Thai Noodles,low-fat,vegetarian,shellfish,nuts
Grilled Teriyaki Tofu Skewers,low-fat,vegetarian,shellfish,nuts
Mexican Quinoa Stuffed Peppers,low-fat,vegetarian,dairy,nuts
Vegetable and Chickpea Curry,low-fat,vegetarian,meat,nuts
Roasted Red Pepper and Goat Cheese Pizza,low-carb,vegetarian,gluten,dairy,nuts
Mushroom and Spinach Quesadilla,low-carb,vegetarian,dairy,nuts
Moroccan Chickpea Tagine,low-fat,vegetarian,meat,nuts
Chicken and Spinach Alfredo,low-carb,high-protein,dairy,nuts,shellfish
Pumpkin and Sage Risotto,low-fat,vegetarian,dairy,nuts
Caprese Quinoa Bowl,low-carb,vegetarian,dairy,nuts
Quinoa and Black Bean Burrito Bowl,low-fat,vegetarian,dairy,nuts
Crispy Tofu and Broccoli Stir-Fry,low-fat,vegetarian,shellfish,nuts
